nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6267.99,2.24003465084e-06
6268.0,2.45009155957e-06
6268.01,2.74003502185e-06
6268.02,3.14325770931e-06
6268.03,3.71990775868e-06
6268.04,4.55802723132e-06
6268.05,5.75787882503e-06
6268.06,7.32235861736e-06
6268.07,8.91270923946e-06
6268.08,9.88622788913e-06
6268.09,1.00197294211e-05
6268.1,9.86871831761e-06
6268.11,9.9591354313e-06
6268.12,1.01260513908e-05
6268.13,9.87381238001e-06
6268.14,9.10881006627e-06
6268.15,8.18699521315e-06
6268.16,7.45203831557e-06
6268.17,7.06466122487e-06
6268.18,6.96743398451e-06
6268.19,6.87627345318e-06
6268.2,6.55728161081e-06
6268.21,6.07053338622e-06
6268.22,5.5548285087e-06
6268.23,5.03252646468e-06
6268.24,4.56009640345e-06
6268.25,4.28113343226e-06
6268.26,4.30932738725e-06
6268.27,4.70206343597e-06
6268.28,5.47810542463e-06
6268.29,6.54104224876e-06
6268.3,7.55851828257e-06
6268.31,8.09619743928e-06
6268.32,7.99183656766e-06
6268.33,7.34791171477e-06
6268.34,6.31892182934e-06
6268.35,5.17414708816e-06
6268.36,4.20434521716e-06
6268.37,3.52791648035e-06
6268.38,3.11954140761e-06
6268.39,2.91593724214e-06
6268.4,2.86774938764e-06
6268.41,2.94661871413e-06
6268.42,3.12151258827e-06
6268.43,3.33796631298e-06
6268.44,3.55267235461e-06
6268.45,3.76798937128e-06
6268.46,3.97967673306e-06
6268.47,4.14093127331e-06
6268.48,4.22406443263e-06
6268.49,4.29995102545e-06
6268.5,4.52062320594e-06
6268.51,5.01353918274e-06
6268.52,5.83809322631e-06
6268.53,6.96255590639e-06
6268.54,8.15302267872e-06
6268.55,8.94967603403e-06
6268.56,9.00183569141e-06
6268.57,8.3697035557e-06
6268.58,7.29890847405e-06
6268.59,6.0499692159e-06
6268.6,4.92100380137e-06
6268.61,4.10183877002e-06
6268.62,3.61569754812e-06
6268.63,3.42007472199e-06
6268.64,3.48819185158e-06
6268.65,3.83251303285e-06
6268.66,4.49067351905e-06
6268.67,5.45129295938e-06
6268.68,6.4884396772e-06
6268.69,7.08243086008e-06
6268.7,6.8106224325e-06
6268.71,5.86005355345e-06
6268.72,4.784772884e-06
6268.73,3.93923043804e-06
6268.74,3.37267492947e-06
6268.75,3.00589663643e-06
6268.76,2.7761111158e-06
6268.77,2.67270129276e-06
6268.78,2.69876670483e-06
6268.79,2.84056147091e-06
6268.8,3.06753523516e-06
6268.81,3.35362857444e-06
6268.82,3.71752105156e-06
6268.83,4.24571169603e-06
6268.84,5.03425805298e-06
6268.85,6.0291346395e-06
6268.86,6.86146727308e-06
6268.87,7.03977370963e-06
6268.88,6.53011957309e-06
6268.89,5.80911577827e-06
6268.9,5.3201765983e-06
6268.91,5.24959887935e-06
6268.92,5.65821657453e-06
6268.93,6.60727954272e-06
6268.94,8.18141662874e-06
6268.95,1.03950585326e-05
6268.96,1.29412515554e-05
6268.97,1.49049218025e-05
6268.98,1.51388356523e-05
6268.99,1.34799168042e-05
6269.0,1.09930838943e-05
6269.01,8.7470371288e-06
6269.02,7.07238765688e-06
6269.03,5.83343749571e-06
6269.04,4.88652792944e-06
6269.05,4.2019450349e-06
6269.06,3.72541335415e-06
6269.07,3.31951697316e-06
6269.08,2.88076217098e-06
6269.09,2.43542370312e-06
6269.1,2.0600213889e-06
6269.11,1.78696155635e-06
6269.12,1.60920344091e-06
6269.13,1.5109836516e-06
6269.14,1.47839172902e-06
6269.15,1.49762987065e-06
6269.16,1.5474206092e-06
6269.17,1.58269481553e-06
6269.18,1.54948172719e-06
6269.19,1.44771734613e-06
6269.2,1.33252062307e-06
6269.21,1.24993775573e-06
6269.22,1.21810718762e-06
6269.23,1.24183340018e-06
6269.24,1.31141197824e-06
6269.25,1.38903053942e-06
6269.26,1.42473654252e-06
6269.27,1.41651050331e-06
6269.28,1.41989224458e-06
6269.29,1.48304341155e-06
6269.3,1.60348373722e-06
6269.31,1.72778342406e-06
6269.32,1.79736284679e-06
6269.33,1.82897739603e-06
6269.34,1.90982366523e-06
6269.35,2.10524309501e-06
6269.36,2.41421462431e-06
6269.37,2.78699512339e-06
6269.38,3.1172746583e-06
6269.39,3.23491750907e-06
6269.4,3.06419457257e-06
